routeframecode,extendedcode,framealtcode,latitude,longitude,framesizefamilycode,framesizename,productformatname,digital,modeltype,productformatmarketingname,revenuestreamname,channelname,visualunitcode,visualunitname,linkedassetcode,linkedassetname,geographicalareacode,geographicalareaname,geolevelname,startdate,enddate,maxstatusdate,tvareacode,tvareaname,conurbationcode,routetowncode,routetownname,districtcode,sitecode,furnitureindex,address,postcode,postalsector,businessareacode,businessareagroupcode,productformatmarketingcode,revenuestreamcode,activestatus,currentstatus,businessareaname,conurbation,extid,fsizename,productformatcode,sitenumber,medialength,dayframe
CDN0031DB.EAST,CDN0031DB.EAST,30673474,41.84619,-87.648478,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0031DB,CDN0031DB,STEVENSON EXWY E/O ARCHER,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,60,"",18x58,"",10.0,2022-03-23
CDN0028DB.NORTH,CDN0028DB.NORTH,30749132,41.842194,-87.63185,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0028DB,CDN0028DB,DAN RYAN EXWY S/O W 29TH,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,61,"",18x58,"",10.0,2022-03-23
CDN0030DB.WEST,CDN0030DB.WEST,30718800,41.837291,-87.667132,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1414,CDN-1414,Ward 25.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1414,S.CDN0030DB,CDN0030DB,STEVENSON EXWY AT ASHLAND,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,62,"",18x58,"",10.0,2022-03-23
CDN0033DB.NORTH,CDN0033DB.NORTH,30673476,41.799446,-87.630522,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0033DB,CDN0033DB,DAN RYAN EXWY S/O 51ST,60609,60609,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,63,"",18x58,"",10.0,2022-03-23
CDN0038DB.SOUTH,CDN0038DB.SOUTH,30673455,41.848172,-87.642331,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-12-31,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0038DB,CDN0038DB,DAN RYAN EXWY AT 24TH,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,64,"",18x58,"",10.0,2022-03-23
CDN0028DB.SOUTH,CDN0028DB.SOUTH,30749133,41.842194,-87.63185,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0028DB,CDN0028DB,DAN RYAN EXWY S/O W 29TH,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,110,"",18x58,"",10.0,2022-03-23
CDN0033DB.SOUTH,CDN0033DB.SOUTH,30673477,41.799446,-87.630522,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0033DB,CDN0033DB,DAN RYAN EXWY S/O 51ST,60609,60609,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,111,"",18x58,"",10.0,2022-03-23
CDN0031DB.WEST,CDN0031DB.WEST,30673475,41.84619,-87.648478,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0031DB,CDN0031DB,STEVENSON EXWY E/O ARCHER,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,112,"",18x58,"",10.0,2022-03-23
CDN0055DB.NORTH,CDN0055DB.NORTH,30749134,41.850567,-87.644361,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0055DB,CDN0055DB,DAN RYAN EXWY S/O CERMAK,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,123,"",18x58,"",10.0,2022-03-23
CDN0035DB.NORTH,CDN0035DB.NORTH,30673480,41.916948,-87.670219,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1418,CDN-1418,Ward 32.,2013-12-31,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1418,S.CDN0035DB,CDN0035DB,KENNEDY EXWY AT CORTLAND,60622,60622,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,124,"",18x58,"",10.0,2022-03-23
CDN0034DB.NORTH,CDN0034DB.NORTH,30673478,41.679442,-87.602142,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1410,CDN-1410,Ward 09.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1410,S.CDN0034DB,CDN0034DB,BISHOP FORD EXWY S/O 115TH,60628,60628,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,170,"",18x58,"",10.0,2022-03-23
CDN0025DB.EAST,CDN0025DB.EAST,30673472,41.87195,-87.749103,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1417,CDN-1417,Ward 29.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1417,S.CDN0025DB,CDN0025DB,EISENHOWER EXWY AT LAVERGNE,60644,60644,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,171,"",18x58,"",10.0,2022-03-23
CDN0053DB.NORTH,CDN0053DB.NORTH,30718807,41.90338,-87.660115,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0053DB,CDN0053DB,KENNEDY EXWY AT DIVISION,60642,60642,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,172,"",18x58,"",10.0,2022-03-23
CDN0035DB.SOUTH,CDN0035DB.SOUTH,30673481,41.916948,-87.670219,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1418,CDN-1418,Ward 32.,2013-12-31,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1418,S.CDN0035DB,CDN0035DB,KENNEDY EXWY AT CORTLAND,60622,60622,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,173,"",18x58,"",10.0,2022-03-23
CDN0055DB.SOUTH,CDN0055DB.SOUTH,30749135,41.850567,-87.644361,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0055DB,CDN0055DB,DAN RYAN EXWY S/O CERMAK,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,174,"",18x58,"",10.0,2022-03-23
CDN0034DB.SOUTH,CDN0034DB.SOUTH,30673479,41.679442,-87.602142,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1410,CDN-1410,Ward 09.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1410,S.CDN0034DB,CDN0034DB,BISHOP FORD EXWY S/O 115TH,60628,60628,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,220,"",18x58,"",10.0,2022-03-23
CDN0053DB.SOUTH,CDN0053DB.SOUTH,30718808,41.90338,-87.660115,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0053DB,CDN0053DB,KENNEDY EXWY AT DIVISION,60642,60642,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,221,"",18x58,"",10.0,2022-03-23
CDN0025DB.WEST,CDN0025DB.WEST,30673473,41.87195,-87.749103,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1417,CDN-1417,Ward 29.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1417,S.CDN0025DB,CDN0025DB,EISENHOWER EXWY AT LAVERGNE,60644,60644,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,222,"",18x58,"",10.0,2022-03-23
CDN0009DB.NORTH,CDN0009DB.NORTH,30673484,41.853461,-87.645747,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0009DB,CDN0009DB,DAN RYAN EXWY N/O CERMAK,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,232,"",18x58,"",10.0,2022-03-23
CDN0018DB.WEST,CDN0018DB.WEST,30673451,41.846783,-87.627142,"",Digital 336x1152,Digital Billboard  (336x1152),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0018DB,CDN0018DB,STEVENSON EXWY W/O STATE,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,233,"",14x48,"",10.0,2022-03-23
